Address, Current Balance, Expected Amount
0x0000000776cb411ecd8297de75d4fadb8cf72f56,0,354691
0x0000049348454fb7b682260f72011087923f6ed2,0,88672
0x0000c7ef39f2af7cb4eddf0ffb9ae9ff36000000,0,585240
0x00026299337f4fa4bbc648741e45b29835d87799,0,177345
0x001b4d9dd4d95b021a50c99d09de97c87a1a09c0,0,1773456
0x00385f60f4b5234e96989805af7328f7afd742b1,0,177345
0x004154553fbca7759d5df5e0232f17a67f5b8b9d,0,95800
0x00415d436b8495d7f682a2f50e54d1e49d1d967a,336583,354691
0x006613079d205c80094ef9b579cc5ae93f5e34e6,0,295346
0x006af0cb11533d28277734cb28b96e6e0a82dd74,0,177345
0x007677b57b89d1503a820166ccd71a7e9bf15607,0,141876
0x00a7949aa0f80c274ef6048f6aa3eb35ebc65f48,10000,58524
0x00cc2860117e676262532f8464f278d593d1fea1,0,67391
0x00dcf487a809ec751d6271a42494ab11df236ec3,0,60297
0x00e4ae82316cded8103c64d9c6f083fd4393f35e,0,886728
0x00f91504046cb47d24b7ac9ee6ae8f407bdca65f,0,886728
0x00f9189f0f99874f6d64ca2d7afdc143886ea6cb,0,532036
0x00fb029f0d5e44d3098b425fc9e95b108278feba,0,58524
0x010622794fed49c7967aa45f4b6f27cc1cd82eba,0,88672
0x011d6968ef78142646065145cd504ee42a842c7a,0,1773456
0x014e53cf86583a53a743e00f5135407e183ab6da,0,182665
0x01877e751710ae337d64459b943f5c5ed2e1239a,0,266018
0x018ce97dba94da8f3a664e679aa5d8ff41b17e86,0,443364
0x01b749fdaf9df807fc974a9a2e96bbb2309686b1,0,532036
0x02237d4988928d3cbdaa72c28d7b42cbe1a9218f,54267,60297
0x02405eaa44eeb2e1070501fe16d1a92bf0332d9b,302975,602975
0x025722491f1792fb848240bfeaf83d8cc0e2cd23,0,177345
0x026b0f2d09971b7b14e882deb7f68e30cdebb8dd,0,8867280
0x02763663360f24246b2b450b7e83c4d916b1c653,0,8867280
0x02902a1c054e536e8a8494a7001e1440e8a48b1e,0,532036
0x029628c78b3b566ed36d0574ef0dfed4bdf62ab4,0,354691
0x029be6fd9d73449343589f727ffccc841ab67db3,0,532036
0x02af5e91525e8f0d47cd8c676209ec0033294a95,0,8867280
0x02c0f635f77ad1b98c5917cb14a04c46bb7ef37b,0,354691
0x02d5e37230e4375523875fe228b5ec7979e39ec3,0,100200
0x02ed9e9af93285250f2f5bea8fcd43742bda7812,2653,67391
0x02fab0713964d73543f4b7f970a0bd96d302ad9c,0,88672
0x02fb9f195d12dcff02902a6606bc0adfc9afeeeb,0,886728
0x0302175923567887f69fec299f2d4b57627f117c,0,70938
0x032aa75730c73c96604d7ddce797a9d3834f147c,44672,88672
0x03763c59af2a54055edae2ccf764d3527992adcb,0,88672
0x03e6c2bfe9a2681b47ec3472661004ef9d91ff86,52860,102860
0x03f6b7108a4f23d179e348815d27931f56d52bd0,6000000,8654466
0x03f93e1d78a5ae4346bfa38bf9d0d399823e0642,0,354691
0x040d336e73aad326355d5654b07ef545328700a0,0,92219
0x041635715c70ea53c35552ee6d1faf34b4c9e8fa,0,177345
0x0464bcfb172c10d1e59fd1e77bba67a52ea73fa3,88811,177622
0x047862412af18da4c549549630887dba1af6c0f2,0,3546912
0x047c344e091b7a539b6fef2a81198ab75a3cec7d,0,106407
0x049b7702949056a918a9bf9849be1964a3b6ba1b,0,336956
0x04ab33227e660e5f2e8263a030a00b71c9323bac,0,709382
0x04acfafe348c904f1791bd74db3fe4ec06f8a2f9,0,354691
0x04b746a658f77c10c861acf1879183d717a0539b,171731,532036
0x04c2dd3d133925d01407fac19bd8ecb8e555735a,0,58524
0x04f47435cb9cdf59c19c9d5e5982e073900f7de3,0,301725
0x04f71a91733f55c82fd29f064b37f7d83b2ee86d,0,709382
0x04fb5e80ca6b05e651414d8ba2edbbff25af78a5,0,177345
0x050dfd4e24513733f1bcd5ebaa1ca594bf943aa1,0,418926
0x0517e73ebc4350fc62c47fcf2455866a66e6a73c,0,58524
0x0557007505b53a399a59a93509673fdc5a3dc454,0,532036
0x055c8c4e4fe99cf483f273274a65b917191d7fe8,0,8867280
0x055df7d93b0a0841fbd118ea5637b3d7a80168f5,0,106407
0x05dd0bef8881024a3f1dc5728742887648e88aac,23369,886728
0x05e7acf6b46b9a65f91accd8bf62e8ffd78328df,579333,886728
0x05ffe6727a1b25afb2af1c067f0b074bd07c0eca,0,59410
0x060f966545bcdfd968a2a00a7ee9306c7bc4cd70,0,117048
0x061125a35ddadc5822669f5969938228bafdda8d,1549,1773456
0x06130c9a68046baeed928c18ea1713ae54d7e750,0,177345
0x0625484df59dc83ff876d543706542cd97627b0e,0,8867280
0x0626a6e2dff1700c68c56f60a751d7c88d599bea,0,886728
0x06380df26efbd54481cc4cf96c30911c9109413e,0,10640736
0x06505e6bcacc342c6b3dcdd3d7b944659059c914,90565,177345
0x068a4d43977a50ffcdd0cb19f51a431b110976f0,0,97540
0x069aafa745178d886a54599967a4935050c094c4,599150,886728
0x069caa85233ac4f9b3902d3a9c55f2c2879bf7c3,0,70938
0x06a92c5eefe5a9c73c69c52663ae7f59fb3a5b24,228243,253604
0x06ad7c4417da7a7d4c936264179a8c7382ca47d5,150000,177345
0x06b28f6806b03310bbcf6f5922e37215e27adf02,0,62869
0x06df97a24b8fd909f0374ad929e6fd4609b9b657,0,88672
0x06feba19e4223714b450b96e4fb9946da9fbf0fe,0,319222
0x074d1f2b46087d67584a83d0c877ec5d33238d59,2,620709
0x07646c79de3c4451bf73b322b199b9977cc0cd8d,0,122368
0x077607bb019e04b2606f245b77b5571556ec3948,0,709382
0x079dbcb8079cba8f41543238814740e428d6ff25,0,212814
0x07a22528d67d646f1d251ca9531a1ccb0c926374,0,886728
0x07a2797a8ead21b707a67bf2a656ccc552b44fe1,0,59410
0x07aa7f6ca287cbf6ee4144a14ab0b9f38603111b,0,97540
0x07d0cf09fd5ed2e1308c8d01d7815d3bc5e31f8c,0,1773456
0x07e2d17388b6c82e46353bb45c61edc9ca79b9c8,0,122368
0x0813e1b0a5b1d0d67ceac68696591f5aecc613c7,0,177345
0x0844a51595d07e8bb83d4355a1789d82fc0f78de,0,1596110
0x0847ac0d5c87f33211d8d099211e5b9754d3fb15,0,383066
0x086ddeaf6f52308abbb94d4ca94236cec255204e,46,177345
0x0878708a658b48734adedbf421c7a630058ba141,0,886728
0x0879b218882acd4e26cd6b938cd0e960ecf85b12,0,88672
0x08859f7afdf335e5ae485450ae2d0045d1eb5dea,0,886728
0x08961517a0e91dbc71c97266c1601a3f566504e5,70000,177345
0x089f98432222a5d8c52e999ed24a4b36c5a78e71,0,191533
0x08b1785b4fa0c498b0c6404a23ec92e3fa6eed50,0,1006853
