Address, Current Balance, Expected Amount
0x00000828a5e160f755387d047a11b7fa433c0c62,1544631,141876
0x000c5a18b902061ef9f12382d4e0a2709a0112fc,266018,266018
0x00192c62e05675a9fbe9ec40322baa1dc164c223,443364,443364
0x001a610d4d5e8e97ea92edd51deb9aad115ce7ef,87177,87177
0x001ce2ef15ed008ec39d060dd5e0c42a4656e57b,763190,115274
0x003db19049811190f330b20406fb1354fab27355,6665895,3546912
0x0046a3c05b9440fff12876d0486f8691079ab578,144211,144211
0x004f927fb2b36a96793263d830cc0cb69ab48e4c,266731,88672
0x005018f9716f7c617c183fc3b4dd0eb17f72edc3,5003930,2660184
0x00936981197abf893b52cafa2ea474ecee744a76,280284,280284
0x0096a4cf7dae7712730e96fec7c2ca983ee59f55,886728,886728
0x0099598a8a476c2be195b5c436649ef8df367d73,177345,177345
0x009e6eeaf45d2746783954d7e82909867ea36953,585240,585240
0x00b94abd3bcb7430289916552da2238fec0f7dcb,357917,354691
0x00be00aad3c3ec8f256e04c44cc5f4516ec829e4,241501,141501
0x00c29794072d1f5b574ce44396e3208acd45a19c,2713387,2713387
0x00c980f967b3e94e471c94d226da998e1eb55a33,392674,212814
0x00ce681867e7a3169449623ab61f8353f1b7379c,58524,58524
0x00d415404751c5baac56eadd9dd6d618fc521c58,58524,58524
0x00dc975c94b7e51768966f09c78e54ad0eccc410,60297,60297
0x00fa0c2337f9e2e347f8c456968be7166668d8a8,138877,88672
0x00fff5068025dccf653d1fd54dfaf4c1c45cd715,177345,177345
0x01117e94f863acafb8f0db5c05f5cb58a20e16a8,266018,266018
0x0119f846b06211063f06b7428d6a4926fcddb0ca,444015,177345
0x011ac39c790f197022d8eab2a6c18ea8f4913ba6,58524,58524
0x015b136e93697f8494d97978425d7adf78af54aa,70938,70938
0x01634e3528b53661e26092b7aeed121e146942cc,532036,532036
0x0165dfa0c24594ee8e4b75b1de5d411d6feae33d,1798033,975400
0x016795127375f71b5ac1caad5e3e1bd9627926c5,177345,177345
0x01697035b387ae7bbf27fabc4c8618da1c9ef500,1773456,1773456
0x01716d6fe249db97983029e42ad34720028e1d85,2997844,622122
0x0179364bd6cbf8425e0bbe0c9932db835ce3cc4f,186212,186212
0x01833f873d22e874d887c300bd132e6ac993ef0b,981686,981686
0x019201bcd96f1b07f8f7fc6c22c36db3d95393b5,8867280,8867280
0x0193dd604e628477f8a10308bb382468f213b61e,17734,17734
0x019ebe5471790fcbf22fc5a44c2df82e157a9068,1823394,1773456
0x01a01f87a54ff4e7c6ca8617c92da972dc8c8d3a,130550,63844
0x01a43e5f0f279b43ec2f067c32fb217b40900417,115274,115274
0x01b3c7202c680271d7e4091f06b31366d68680c7,194628,177345
0x01b8f7ef9c12841ca94ee6652f0d5e9646a1168f,88672,88672
0x01ccda1deb18a73870136a7bf06e96b47b7da13f,155646,97540
0x01d3471d7a3f344482fd99b5647b39ad797f4156,177345,177345
0x01e41e2ea139e4e56f4bfbf7cd8eb8700f1d829d,58524,58524
0x01e9432a589158228d061626c537fb11bef0873d,1773456,1773456
0x01f018d63f64bc6aaba995c7ffa5a8ae830f8878,4675483,3192221
0x01f4656464aa02e10a48b2e3ee8117749f1cabea,62070,62070
0x01fd932d6ad813576f77fe76097634e3749f9038,3852058,354691
0x0201efab41620a7bc92d4b8c1d8b06ccc30cfc78,106407,106407
0x02082f45ee3a5d224e0e0d5e79fcd271feedbf8a,60297,60297
0x020ae45b68d34c939b1ab23d2ee9f29fb873b43a,3546912,3546912
0x0228952df61f451e7ca74e47109c013fe7e3e188,301487,301487
0x022ac4a43ee963df4d8e8e52b00ca1dfb13c2673,58524,58524
0x022fd450a42a12cbc5e5155133b5839f92f45aa4,4395096,532036
0x0232183a718eec604aa5eada6c0721789744cafa,212677,155391
0x0236e6349398531b7aa0f71b9c38f0495a7f74d7,266018,266018
0x0237f81456becf4a4a4b3d7f18d2c9b7e9be36f5,2880982,336337
0x02426436ba4fabdab1c89cb4d974ff8a26c26641,3546912,3546912
0x0244da92cb91f3d476df3dc29a9ebd044592c022,205879,205879
0x02518bda432d9359c148e676fb7c666ea324e093,1241419,1241419
0x025257dfcaa6d3c8915f932c2e913582fba0aa2a,5320368,5320368
0x02535a353d2285fb8ee620db50472d3b08fff560,366554,266018
0x025770f35bc9d93f79d8b36180a1230a5152de18,1403099,886728
0x02591b918f5d187ea6b86e640d34dc0d0c7bf4a5,1000000,886728
0x02739462bc5446635a2c414824577ec3269c4cc2,177432,177432
0x027583b11b3284af8624e4cca8704e3328803316,177345,177345
0x027a60e91c99149e12822eb91369fef2fc8710c3,61018,61018
0x0284439da6039b2e2fdd4dca08444856b9b7a6b9,205898,205898
0x028853ab5668752b1aacf101f420f8c2d215e88a,169122,159611
0x029d89aaccc8aced665e1798116fdcabb063cae3,532036,532036
0x02b804b85ccbc0f3205f0614027c3df603c76c28,325444,58524
0x02babb3eea57e41ff704561d63687b27c32e12fd,118112,118112
0x02c465d39fa7e876d1cd74be886323c2a66ef9e6,2653415,443364
0x02cf843a96d94b13299a5f3f799ec4c5866aea5d,100164,100164
0x02e052679578006663d478fae910081209b4026c,274885,274885
0x02e20a804be8470eab019fc1693e1a78b426dd38,1258313,886728
0x02f9f87fc90623a00ce2a9d68f587028dc552a49,489281,407894
0x02fdb5f1c021c8da4a68af0f783475cd74f59395,177345,177345
0x03177b48b6792fee02ca84d429f98fa1ed83b835,177345,177345
0x03249f747320b56c9e4564e0182f765cb0bbe46c,177345,177345
0x032ec77431197c81bfc956be9b30747e5dc40cc1,366888,177345
0x03331490659db6a0f9aee0c737c473d15cbc6dd4,532036,532036
0x033388448e4c6ea5cc67c42190bc9134e77d1060,656178,656178
0x03371eafc94c9fea62b89e06ce2a064da7be45d0,3901603,3901603
0x0338ce5020c447f7e668dc2ef778025ce398266b,88672,88672
0x033f1f3ab6c98093a1fe7c190bdc654f99f25d53,136241,80287
0x033ff5c327698de6f31dc6206220b72f9f371149,290066,82146
0x034292fed38abe67847d810a21723f16fde2112c,86899,86899
0x0351adb5095d0d5e7ed7bb3456be2dc21fd8b170,443364,443364
0x0353ee54aa1d88f962d5d806d0856fe25dbdc568,1000000,788123
